加分,初一,初二,初三,高一,高二,高三,大一大二,大三大四
10,"-50""","-50""","-50""","-50""","-50""","-50""","-50""","-50"""
9,"-45""","-45""","-45""","-45""","-45""","-45""","-45""","-45"""
8,"-40""","-40""","-40""","-40""","-40""","-40""","-40""","-40"""
7,"-35""","-35""","-35""","-35""","-35""","-35""","-35""","-35"""
6,"-30""","-30""","-30""","-30""","-30""","-30""","-30""","-30"""
5,"-25""","-25""","-25""","-25""","-25""","-25""","-25""","-25"""
4,"-20""","-20""","-20""","-20""","-20""","-20""","-20""","-20"""
3,"-15""","-15""","-15""","-15""","-15""","-15""","-15""","-15"""
2,"-10""","-10""","-10""","-10""","-10""","-10""","-10""","-10"""
1,"-5""","-5""","-5""","-5""","-5""","-5""","-5""","-5"""
