等级,单项,初一,初二,初三,高一,高二,高三,大一大二,大三大四
,得分,,,,,,,,
优秀,100,225.0,240.0,250.0,260.0,265.0,270.0,273.0,275.0
,95,218.0,233.0,245.0,255.0,260.0,265.0,268.0,270.0
,90,211.0,226.0,240.0,250.0,255.0,260.0,263.0,265.0
良好,85,203.0,218.0,233.0,243.0,248.0,253.0,256.0,258.0
,80,195.0,210.0,225.0,235.0,240.0,245.0,248.0,250.0
及格,78,191.0,206.0,221.0,231.0,236.0,241.0,244.0,246.0
,76,187.0,202.0,217.0,227.0,232.0,237.0,240.0,242.0
,74,183.0,198.0,213.0,223.0,228.0,233.0,236.0,238.0
,72,179.0,194.0,209.0,219.0,224.0,229.0,232.0,234.0
,70,175.0,190.0,205.0,215.0,220.0,225.0,228.0,230.0
,68,171.0,186.0,201.0,211.0,216.0,221.0,224.0,226.0
,66,167.0,182.0,197.0,207.0,212.0,217.0,220.0,222.0
,64,163.0,178.0,193.0,203.0,208.0,213.0,216.0,218.0
,62,159.0,174.0,189.0,199.0,204.0,209.0,212.0,214.0
,60,155.0,170.0,185.0,195.0,200.0,205.0,208.0,210.0
不及格,50,150.0,165.0,180.0,190.0,195.0,200.0,203.0,205.0
,40,145.0,160.0,175.0,185.0,190.0,195.0,198.0,200.0
,30,140.0,155.0,170.0,180.0,185.0,190.0,193.0,195.0
,20,135.0,150.0,165.0,175.0,180.0,185.0,188.0,190.0
,10,130.0,145.0,160.0,170.0,175.0,180.0,183.0,185.0
