等级,单项,三年级,四年级,五年级,六年级,初一,初二,初三,高一,高二,高三,大一,大三
,得分,,,,,,,,,,,大二,大四
优秀,100,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56,57
,95,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54,55
,90,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52,53
良好,85,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49,50
,80,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46,47
及格,78,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44,45
,76,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42,43
,74,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40,41
,72,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38,39
,70,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36,37
,68,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34,35
,66,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32,33
,64,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30,31
,62,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28,29
,60,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26,27
不及格,50,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24,25
,40,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22,23
,30,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20,21
,20,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18,19
,10,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16,17
